Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Customer_Status_Predicted
25063-WES,Male,51,No,West Bengal,4,35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,1.0
59787-KAR,Male,79,No,Karnataka,3,21,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,1.0
28544-TAM,Female,80,No,Tamil Nadu,3,8,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,1.0
93520-GUJ,Female,67,No,Gujarat,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,,,1.0
73360-AND,Female,74,No,Andhra Pradesh,0,30,,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,1.0
36756-MAD,Male,64,Yes,Madhya Pradesh,15,33,,No,,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,1.0
87346-MAD,Female,29,Yes,Madhya Pradesh,12,20,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,1.0
57256-BIH,Female,18,No,Bihar,9,7,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,,,1.0
65431-CHH,Female,31,No,Chhattisgarh,12,24,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,1.0
13829-PUN,Female,34,Yes,Punjab,12,26,,No,,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,1.0
73036-JAM,Female,66,Yes,Jammu & Kashmir,10,21,,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,1.0
72357-MAD,Female,53,No,Madhya Pradesh,14,12,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,,,1.0
36405-CHH,Male,47,No,Chhattisgarh,9,26,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,1.0
22439-RAJ,Female,73,Yes,Rajasthan,4,1,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,1.0
69173-TAM,Male,27,No,Tamil Nadu,9,27,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person,1.0
22286-HAR,Female,54,Yes,Haryana,6,36,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,1.0
25964-HAR,Male,66,Yes,Haryana,10,1,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,1.0
31698-PUN,Female,20,Yes,Punjab,15,1,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider,1.0
76182-UTT,Male,47,No,Uttar Pradesh,7,10,,No,,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,Churned,Competitor,Competitor offered more data,1.0
69444-JAM,Female,31,Yes,Jammu & Kashmir,5,10,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer,1.0
66612-TEL,Female,38,Yes,Telangana,8,27,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0.0,0,688.8,2242.75,Churned,Attitude,Attitude of service provider,1.0
93739-UTT,Female,44,No,Uttar Pradesh,14,6,,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0.0,0,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds,1.0
19096-WES,Female,58,Yes,West Bengal,14,28,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0.0,0,172.56,1224.96,Churned,Attitude,Attitude of support person,1.0
46624-WES,Female,26,Yes,West Bengal,13,27,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0.0,0,1.23,81.43,Churned,Price,Lack of affordable download/upload speed,1.0
14078-MAH,Female,28,Yes,Maharashtra,6,18,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,63.75,0.0,0,77.25,141.0,Churned,Price,Long distance charges,1.0
91027-CHH,Male,42,No,Chhattisgarh,4,20,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0.0,0,872.0,3234.1,Churned,Competitor,Competitor had better devices,1.0
85993-KAR,Female,42,Yes,Karnataka,11,1,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0.0,0,39.81,110.71,Churned,Competitor,Competitor had better devices,1.0
12999-BIH,Female,52,No,Bihar,5,34,Deal 4,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0.0,0,599.28,1751.98,Churned,Attitude,Attitude of service provider,1.0
66612-KAR,Female,58,Yes,Karnataka,11,18,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.95,58.0,0.0,0,8.07,66.07,Joined,,,1.0
22119-WES,Male,31,Yes,West Bengal,5,5,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.05,33.7,0.0,0,3.62,37.32,Joined,,,1.0
21811-CHH,Male,29,No,Chhattisgarh,13,7,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0.0,100,20.2,975.5,Churned,Competitor,Competitor offered more data,1.0
32681-MAH,Female,83,Yes,Maharashtra,3,1,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,0.0,0,172.26,647.16,Churned,Other,Deceased,1.0
53535-ASS,Female,28,No,Assam,11,10,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0.0,0,714.7,8842.3,Churned,Dissatisfaction,Network reliability,1.0
39219-KAR,Female,58,Yes,Karnataka,6,35,Deal 3,Yes,Yes,No,,,,,,,,,,One Year,No,Bank Withdrawal,25.3,676.35,0.0,0,139.25,815.6,Churned,Price,Long distance charges,1.0
47612-AND,Female,58,Yes,Andhra Pradesh,10,35,,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0.0,0,335.85,1918.6,Churned,Competitor,Competitor made better offer,1.0
62148-JAM,Male,21,Yes,Jammu & Kashmir,1,1,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,371.9,0.0,0,115.08,486.98,Churned,Competitor,Competitor made better offer,1.0
31049-TAM,Female,61,No,Tamil Nadu,7,8,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,167.3,0.0,0,28.28,195.58,Churned,Competitor,Competitor made better offer,1.0
74023-JAM,Female,20,Yes,Jammu & Kashmir,6,11,,Yes,Yes,Yes,Cable,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,223.15,0.0,0,110.05,333.2,Churned,Competitor,Competitor made better offer,1.0
79168-UTT,Female,78,No,Uttar Pradesh,2,10,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,44.3,89.3,0.0,0,47.82,137.12,Joined,,,1.0
66712-GUJ,Female,47,Yes,Gujarat,6,33,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,235.05,0.0,0,41.16,276.21,Joined,,,1.0
32554-DEL,Male,28,No,Delhi,0,21,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.9,75.9,0.0,0,44.56,120.46,Churned,Competitor,Competitor made better offer,1.0
65631-RAJ,Female,50,No,Rajasthan,15,7,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.55,85.55,0.0,0,33.34,118.89,Churned,Other,Moved,1.0
86508-UTT,Male,50,No,Uttar Pradesh,8,7,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,1444.65,0.0,0,733.95,2178.6,Churned,Competitor,Competitor had better devices,1.0
53815-BIH,Female,36,No,Bihar,2,4,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.7,19.7,0.0,0,34.28,53.98,Joined,,,1.0
34110-MAH,Female,20,Yes,Maharashtra,6,3,,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.1,50.1,0.0,0,29.13,79.23,Joined,,,1.0
81184-BIH,Male,60,No,Bihar,9,36,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,2227.1,0.0,0,471.8,2698.9,Churned,Competitor,Competitor had better devices,1.0
73571-DEL,Male,77,No,Delhi,14,20,,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,Churned,Attitude,Attitude of support person,1.0
12056-WES,Male,27,No,West Bengal,2,20,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.4,268.45,0.0,0,94.44,362.89,Joined,,,1.0
73101-JAM,Male,21,Yes,Jammu & Kashmir,4,3,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0.0,0,80.86,262.36,Churned,Competitor,Competitor made better offer,1.0
84766-UTT,Female,53,No,Uttar Pradesh,9,2,,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,72.9,651.4,0.0,0,319.41,970.81,Churned,Competitor,Competitor made better offer,1.0
57610-JAM,Female,79,No,Jammu & Kashmir,2,24,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,Churned,Attitude,Attitude of support person,1.0
57568-KER,Female,39,No,Kerala,14,15,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.75,58.85,0.0,0,73.89,132.74,Churned,Attitude,Attitude of support person,1.0
78121-MAH,Male,33,Yes,Maharashtra,0,17,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,21.05,113.85,0.0,0,171.3,285.15,Churned,Attitude,Attitude of support person,1.0
99322-HAR,Female,34,Yes,Haryana,11,10,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.7,5036.3,0.0,0,2172.17,7208.47,Churned,Competitor,Competitor had better devices,1.0
84842-KER,Female,61,Yes,Kerala,9,20,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,95.45,0.0,0,5.59,101.04,Churned,Competitor,Competitor had better devices,1.0
67882-JAM,Female,43,Yes,Jammu & Kashmir,2,8,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,842.9,0.0,0,135.04,977.94,Churned,Competitor,Competitor made better offer,1.0
46172-ASS,Male,60,Yes,Assam,1,20,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1,453.4,0.0,0,155.45,608.85,Churned,Competitor,Competitor made better offer,1.0
43887-MAH,Female,62,Yes,Maharashtra,4,27,,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.15,6010.05,0.0,0,3009.13,9019.18,Churned,Dissatisfaction,Service dissatisfaction,1.0
75305-KAR,Male,57,No,Karnataka,9,28,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.8,888.75,0.0,0,336.27,1225.02,Stayed,,,1.0
44755-JHA,Female,28,Yes,Jharkhand,9,19,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.55,80.55,0.0,0,43.67,124.22,Churned,Competitor,Competitor had better devices,1.0
82129-JHA,Female,26,No,Jharkhand,9,8,Deal 5,Yes,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,58.7,168.6,0.0,0,34.41,203.01,Joined,,,1.0
56933-MAH,Female,26,No,Maharashtra,6,32,,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,2331.3,0.0,0,872.85,3204.15,Churned,Other,Don't know,1.0
68194-UTT,Female,60,No,Uttar Pradesh,0,23,,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,0.0,0,50.98,140.48,Churned,Competitor,Competitor had better devices,1.0
18228-AND,Female,32,Yes,Andhra Pradesh,6,21,,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.55,48.55,0.0,0,11.35,59.9,Churned,Attitude,Attitude of support person,1.0
13542-UTT,Male,71,Yes,Uttar Pradesh,11,20,,Yes,Yes,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,6851.65,0.0,0,1450.44,8302.09,Churned,Competitor,Competitor offered more data,1.0
37338-RAJ,Male,48,Yes,Rajasthan,7,9,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.7,740.3,0.0,80,155.92,976.22,Churned,Competitor,Competitor offered more data,1.0
29172-BIH,Female,39,Yes,Bihar,15,34,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,70.1,0.0,0,17.37,87.47,Churned,Competitor,Competitor had better devices,1.0
52951-RAJ,Female,39,No,Rajasthan,13,25,,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.9,315.3,0.0,0,90.54,405.84,Churned,Price,Price too high,1.0
34205-UTT,Male,50,No,Uttar Pradesh,5,29,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,330.15,0.0,0,85.4,415.55,Churned,Attitude,Attitude of service provider,1.0
93684-JAM,Male,82,Yes,Jammu & Kashmir,1,1,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,Churned,Competitor,Competitor made better offer,1.0
36829-HAR,Female,66,Yes,Haryana,10,28,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.3,4443.45,0.0,130,427.63,5001.08,Churned,Price,Price too high,1.0
69510-JAM,Female,44,No,Jammu & Kashmir,2,31,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.3,577.6,0.0,0,15.6,593.2,Churned,Other,Don't know,1.0
59068-JAM,Female,32,No,Jammu & Kashmir,2,34,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,102.1,5885.4,0.0,100,203.58,6188.98,Churned,Competitor,Competitor made better offer,1.0
41514-UTT,Female,65,No,Uttar Pradesh,1,35,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,2911.3,0.0,0,1486.45,4397.75,Churned,Other,Don't know,1.0
39764-UTT,Female,39,Yes,Uttar Pradesh,5,14,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.35,46.35,0.0,0,88.68,135.03,Joined,,,1.0
29626-WES,Male,67,No,West Bengal,10,22,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,50.15,50.15,0.0,50,38.33,138.48,Joined,,,1.0
47133-ODI,Female,60,Yes,Odisha,15,8,,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.6,122.7,0.0,0,46.77,169.47,Joined,,,1.0
32214-HAR,Female,30,Yes,Haryana,12,19,Deal 5,No,,Yes,DSL,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,0.0,0,0.0,34.7,Churned,Other,Don't know,1.0
69406-HAR,Male,30,Yes,Haryana,2,20,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,88.25,1460.65,0.0,0,304.47,1765.12,Churned,Other,Deceased,1.0
61318-ASS,Female,24,Yes,Assam,2,6,,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.8,272.2,0.0,0,31.8,304.0,Churned,Competitor,Competitor had better devices,1.0
54055-TEL,Female,33,Yes,Telangana,4,5,,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,139.4,0.0,0,19.58,158.98,Churned,Attitude,Attitude of support person,1.0
88912-MAD,Female,74,Yes,Madhya Pradesh,8,5,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,Churned,Other,Don't know,1.0
62842-HAR,Male,33,Yes,Haryana,11,25,,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,19.3,44.4,0.0,0,99.82,144.22,Joined,,,1.0
45744-WES,Female,68,Yes,West Bengal,1,35,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75,8.13,0,636.02,6202.64,Churned,Price,Price too high,1.0
36853-MAH,Female,27,No,Maharashtra,8,2,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.9,3545.35,0.0,0,889.48,4434.83,Churned,Dissatisfaction,Lack of self-service on Website,1.0
45654-PUN,Female,26,Yes,Punjab,7,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,229.55,8.74,0,43.8,264.61,Churned,Dissatisfaction,Product dissatisfaction,1.0
44434-ASS,Female,73,No,Assam,15,12,Deal 2,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.5,5373.1,0.0,0,1808.46,7181.56,Churned,Price,Lack of affordable download/upload speed,1.0
37598-UTT,Male,63,No,Uttar Pradesh,5,30,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,5742.9,0.0,0,2113.2,7856.1,Churned,Dissatisfaction,Service dissatisfaction,1.0
21288-MAH,Female,63,No,Maharashtra,12,34,,Yes,Yes,Yes,DSL,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,60.25,170.5,0.0,70,60.3,300.8,Joined,,,1.0
48712-GUJ,Female,56,Yes,Gujarat,1,2,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.4,44.4,0.0,0,26.53,70.93,Churned,Attitude,Attitude of support person,1.0
77868-JAM,Male,35,No,Jammu & Kashmir,1,15,,No,,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,25.5,215.2,0.0,0,0.0,215.2,Churned,Attitude,Attitude of support person,1.0
36589-UTT,Female,56,No,Uttar Pradesh,13,29,Deal 5,Yes,No,No,,,,,,,,,,Month-to-Month,No,Credit Card,20.9,20.9,0.0,0,15.51,36.41,Churned,Dissatisfaction,Limited range of services,1.0
42084-BIH,Female,36,Yes,Bihar,2,21,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.1,2598.95,0.0,0,512.68,3111.63,Churned,Dissatisfaction,Poor expertise of online support,1.0
83994-DEL,Male,48,Yes,Delhi,8,24,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,90.7,237.65,0.0,0,16.17,253.82,Joined,,,1.0
31688-CHH,Female,25,Yes,Chhattisgarh,0,8,,No,,Yes,Cable,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,45.3,2145.0,0.0,140,0.0,2285.0,Churned,Price,Price too high,1.0
24754-AND,Female,63,Yes,Andhra Pradesh,0,28,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,200.2,33.8,0,5.01,171.41,Joined,,,1.0
25214-BIH,Female,50,No,Bihar,9,16,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.8,1900.25,0.0,0,892.63,2792.88,Churned,Attitude,Attitude of support person,1.0
67857-TAM,Female,33,No,Tamil Nadu,13,33,,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,73.0,3001.2,0.0,0,652.31,3653.51,Churned,Competitor,Competitor offered higher download speeds,1.0
49309-UTT,Female,49,No,Uttarakhand,2,30,Deal 2,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.85,3365.85,0.0,0,2112.59,5478.44,Churned,Price,Lack of affordable download/upload speed,1.0
